puzzle_id,difficulty,algorithm,run_id,seed,success,elapsed_ms,nodes_explored,backtracks,max_depth,iterations,restarts,moves,stopped_reason
40,expert,mrv,2,,True,10.29,75,24,54,0,0,0,solved
1,easy,min_conflicts,0,0,True,147.323,0,0,0,78,0,78,solved
1,easy,min_conflicts,1,1,True,94.99,0,0,0,61,0,61,solved
1,easy,min_conflicts,2,2,True,90.152,0,0,0,65,0,65,solved
1,easy,min_conflicts,3,3,True,37.927,0,0,0,41,0,41,solved
1,easy,min_conflicts,4,4,True,65.07,0,0,0,37,0,37,solved
1,easy,min_conflicts,5,5,True,54.58,0,0,0,43,0,43,solved
1,easy,min_conflicts,6,6,True,127.251,0,0,0,56,0,56,solved
1,easy,min_conflicts,7,7,True,368.984,0,0,0,128,0,128,solved
1,easy,min_conflicts,8,8,True,94.948,0,0,0,72,0,72,solved
1,easy,min_conflicts,9,9,True,73.411,0,0,0,36,0,36,solved
2,easy,min_conflicts,0,0,True,185.377,0,0,0,76,0,76,solved
2,easy,min_conflicts,1,1,True,36.055,0,0,0,26,0,26,solved
2,easy,min_conflicts,2,2,True,42.423,0,0,0,32,0,32,solved
2,easy,min_conflicts,3,3,True,61.192,0,0,0,46,0,46,solved
2,easy,min_conflicts,4,4,True,82.814,0,0,0,44,0,44,solved
2,easy,min_conflicts,5,5,True,66.046,0,0,0,34,0,34,solved
2,easy,min_conflicts,6,6,True,53.431,0,0,0,34,0,34,solved
2,easy,min_conflicts,7,7,True,25.217,0,0,0,20,0,20,solved
2,easy,min_conflicts,8,8,True,25.839,0,0,0,29,0,29,solved
2,easy,min_conflicts,9,9,True,38.246,0,0,0,46,0,46,solved
3,easy,min_conflicts,0,0,True,82.188,0,0,0,43,0,43,solved
3,easy,min_conflicts,1,1,True,57.916,0,0,0,25,0,25,solved
3,easy,min_conflicts,2,2,True,81.512,0,0,0,60,0,60,solved
3,easy,min_conflicts,3,3,True,90.546,0,0,0,72,0,72,solved
3,easy,min_conflicts,4,4,True,45.461,0,0,0,32,0,32,solved
3,easy,min_conflicts,5,5,True,65.259,0,0,0,53,0,53,solved
3,easy,min_conflicts,6,6,True,29.62,0,0,0,18,0,18,solved
3,easy,min_conflicts,7,7,True,38.456,0,0,0,26,0,26,solved
3,easy,min_conflicts,8,8,True,40.006,0,0,0,27,0,27,solved
3,easy,min_conflicts,9,9,True,158.42,0,0,0,115,0,115,solved
